week_number,pizza_name,pizza_size,quantity,year,month,day,unit_price,pizza_category
1,The Barbecue Chicken Pizza,L,18,2015,1,5,20.75,Chicken
1,The Barbecue Chicken Pizza,M,15,2015,1,5,16.75,Chicken
1,The Barbecue Chicken Pizza,S,5,2015,1,5,12.75,Chicken
1,The Big Meat Pizza,S,21,2015,1,5,12.0,Classic
1,The Brie Carre Pizza,S,3,2015,1,5,23.649999999999995,Supreme
1,The Calabrese Pizza,M,3,2015,1,5,16.25,Supreme
1,The Calabrese Pizza,S,1,2015,1,5,12.25,Supreme
1,The California Chicken Pizza,L,14,2015,1,5,20.75,Chicken
1,The California Chicken Pizza,M,8,2015,1,5,16.75,Chicken
1,The California Chicken Pizza,S,4,2015,1,5,12.75,Chicken
1,The Chicken Alfredo Pizza,L,3,2015,1,5,20.75,Chicken
1,The Chicken Alfredo Pizza,M,8,2015,1,5,16.75,Chicken
1,The Chicken Alfredo Pizza,S,2,2015,1,5,12.75,Chicken
1,The Chicken Pesto Pizza,L,6,2015,1,5,20.75,Chicken
1,The Chicken Pesto Pizza,M,2,2015,1,5,16.75,Chicken
1,The Chicken Pesto Pizza,S,2,2015,1,5,12.75,Chicken
1,The Classic Deluxe Pizza,L,7,2015,1,5,20.5,Classic
1,The Classic Deluxe Pizza,M,12,2015,1,5,16.0,Classic
1,The Classic Deluxe Pizza,S,6,2015,1,5,12.0,Classic
1,The Five Cheese Pizza,L,21,2015,1,5,18.5,Veggie
1,The Four Cheese Pizza,L,12,2015,1,5,17.949999999999996,Veggie
1,The Four Cheese Pizza,M,8,2015,1,5,14.75,Veggie
1,The Greek Pizza,M,8,2015,1,5,16.0,Classic
1,The Greek Pizza,S,9,2015,1,5,12.0,Classic
1,The Greek Pizza,XL,6,2015,1,5,25.5,Classic
1,The Green Garden Pizza,L,1,2015,1,5,20.25,Veggie
1,The Green Garden Pizza,M,3,2015,1,5,16.0,Veggie
1,The Green Garden Pizza,S,8,2015,1,5,12.0,Veggie
1,The Hawaiian Pizza,L,11,2015,1,5,16.5,Classic
1,The Hawaiian Pizza,M,5,2015,1,5,13.25,Classic
1,The Hawaiian Pizza,S,10,2015,1,5,10.5,Classic
1,The Italian Capocollo Pizza,L,11,2015,1,5,20.5,Classic
1,The Italian Capocollo Pizza,M,7,2015,1,5,16.0,Classic
1,The Italian Capocollo Pizza,S,3,2015,1,5,12.0,Classic
1,The Italian Supreme Pizza,L,14,2015,1,5,20.75,Supreme
1,The Italian Supreme Pizza,M,14,2015,1,5,16.5,Supreme
1,The Italian Supreme Pizza,S,4,2015,1,5,12.5,Supreme
1,The Italian Vegetables Pizza,L,4,2015,1,5,21.0,Veggie
1,The Italian Vegetables Pizza,M,3,2015,1,5,16.75,Veggie
1,The Italian Vegetables Pizza,S,5,2015,1,5,12.75,Veggie
1,The Mediterranean Pizza,L,3,2015,1,5,20.25,Veggie
1,The Mediterranean Pizza,M,3,2015,1,5,16.0,Veggie
1,The Mediterranean Pizza,S,1,2015,1,5,12.0,Veggie
1,The Mexicana Pizza,L,11,2015,1,5,20.25,Veggie
1,The Mexicana Pizza,M,7,2015,1,5,16.0,Veggie
1,The Mexicana Pizza,S,2,2015,1,5,12.0,Veggie
1,The Napolitana Pizza,L,7,2015,1,5,20.5,Classic
1,The Napolitana Pizza,M,6,2015,1,5,16.0,Classic
1,The Napolitana Pizza,S,6,2015,1,5,12.0,Classic
1,The Pepper Salami Pizza,L,6,2015,1,5,20.75,Supreme
1,The Pepper Salami Pizza,M,5,2015,1,5,16.5,Supreme
1,The Pepper Salami Pizza,S,3,2015,1,5,12.5,Supreme
1,The Pepperoni Pizza,L,10,2015,1,5,15.25,Classic
1,The Pepperoni Pizza,M,11,2015,1,5,12.5,Classic
1,The Pepperoni Pizza,S,9,2015,1,5,9.75,Classic
1,"The Pepperoni, Mushroom, and Peppers Pizza",L,3,2015,1,5,17.5,Classic
1,"The Pepperoni, Mushroom, and Peppers Pizza",M,1,2015,1,5,14.5,Classic
1,"The Pepperoni, Mushroom, and Peppers Pizza",S,7,2015,1,5,11.0,Classic
1,The Prosciutto and Arugula Pizza,L,7,2015,1,5,20.75,Supreme
1,The Prosciutto and Arugula Pizza,M,5,2015,1,5,16.5,Supreme
1,The Prosciutto and Arugula Pizza,S,8,2015,1,5,12.5,Supreme
